start,end,id,length,diameter,disuse,q_max,flowdir,has_booster,booster_hmax
1,3,1,23160,100,0,28.26,0,0,0
2,15,2,24344,100,0,28.26,0,0,0
3,2,3,12999,100,0,28.26,0,0,0
4,5,4,11484,100,0,28.26,0,0,0
5,9,5,12070,100,0,28.26,0,0,0
5,6,6,24633,100,0,28.26,0,0,0
7,8,7,7044,400,0,452.16,0,0,0
7,9,8,10202,150,0,63.585,0,0,0
7,10,9,10003,100,0,28.26,0,0,0
8,14,10,7372,350,0,346.185,0,0,0
9,15,11,15612,150,0,63.585,0,0,0
14,13,12,6854,550,0,854.865,0,0,0
14,35,13,5621,400,0,452.16,0,0,0
16,22,14,12169,150,0,63.585,0,0,0
17,16,15,5632,200,0,113.04,0,0,0
18,15,16,11170,400,0,452.16,0,0,0
18,17,17,6974,300,0,254.34,0,0,0
19,32,18,12802,150,0,63.585,0,0,0
20,18,19,10092,500,0,706.5,0,0,0
21,20,20,11487,600,0,1017.36,0,0,0
22,23,21,13169,150,0,63.585,0,0,0
24,22,22,11368,300,0,254.34,0,0,0
25,23,23,9270,300,0,254.34,0,0,0
26,27,24,9154,200,0,113.04,0,0,0
27,19,25,14868,200,0,113.04,0,0,0
29,30,26,7604,200,0,113.04,0,0,0
33,32,27,9010,250,0,176.625,0,0,0
33,37,28,12804,350,0,346.185,0,0,0
35,36,29,6133,150,0,63.585,0,0,0
36,37,30,7390,150,0,63.585,0,0,0
39,38,31,12586,250,0,176.625,0,0,0
39,33,32,10104,450,0,572.265,0,0,0
40,6,33,4654,100,0,28.26,0,0,0
41,21,34,12451,650,0,1193.985,0,0,0
41,24,35,11974,400,0,452.16,0,0,0
41,25,36,10162,400,0,452.16,0,0,0
41,27,37,8837,400,0,452.16,0,0,0
41,28,38,5050,200,0,113.04,0,0,0
41,29,39,9715,150,0,63.585,0,0,0
42,4,40,3495,100,0,28.26,0,0,0
43,5,41,2507,100,0,28.26,0,0,0
44,39,42,1805,600,0,1017.36,0,0,0
45,3,43,1933,150,0,63.585,0,0,0
46,7,44,7627,400,0,452.16,0,0,0
46,11,45,12527,200,0,113.04,0,0,0
46,12,46,8153,300,0,254.34,0,0,0
46,35,47,2252,500,0,706.5,0,0,0
47,26,48,10644,350,0,346.185,0,0,0
47,30,49,10164,200,0,113.04,0,0,0
47,31,50,3959,200,0,113.04,0,0,0
47,34,51,5086,200,0,113.04,0,0,0
48,1,52,7719,100,0,28.26,0,0,0
