id,label,lat,lon,name,type,weight,discharge,elevation,max_supply_head,disuse,use_pump_curve,ind_ratio
1,1,53.25711738,4.961878556,Vlieland,demand,1,18.75,0,0,0,0,0.3
2,2,53.41805989,5.426540541,Oosterend,demand,1,10.15,0,0,0,0,0.3
3,3,53.38074161,5.241388892,West-Terschelling,demand,1,48.56,0,0,0,0,0.3
4,4,53.44604626,5.73,Hollum,demand,1,28.44,0,0,0,0,0.3
5,5,53.45444145,5.9,Nes,demand,1,34.12,0,0,0,0,0.3
6,6,53.48862653,6.218087736,Schiermonnikoog,demand,1,16.97,0,0,0,0,0.3
7,7,53.28465709,6.004911238,Dokkum,demand,1,79.98,0,0,0,0,0.3
8,8,53.26326989,5.905541182,Gytsjerk,demand,1,58.16,0,0,0,0,0.3
9,9,53.349377,5.896530203,Holwerd,demand,1,1.65,0,0,0,0,0.3
10,10,53.35969262,6.087510117,Anjum,demand,1,0.04,0,0,0,0,0.3
11,11,53.28154022,6.155540113,Kollum,demand,1,86.18,0,0,0,0,0.3
12,12,53.19155457,6.117739802,Surhuisterveen,demand,1,214.44,0,0,0,0,0.3
13,13,53.19669498,5.808701549,Leeuwarden-stad,demand,1,714.48,0,0,0,0,0.3
14,14,53.19712917,5.911251482,Hurdegaryp,demand,1,40.83,0,0,0,0,0.3
15,15,53.2730144,5.700080604,Stiens,demand,1,277.27,0,0,0,0,0.3
16,16,53.18781398,5.469735977,Harlingen,demand,1,169.93,0,0,0,0,0.3
17,17,53.19142877,5.553772504,Franeker,demand,1,103.37,0,0,0,0,0.3
18,18,53.19683381,5.657712343,Dronrijp,demand,1,73.84,0,0,0,0,0.3
19,19,53.09000451,5.828898107,Grou,demand,1,163.91,0,0,0,0,0.3
20,20,53.13042045,5.644357595,Wommels,demand,1,161.61,0,0,0,0,0.3
21,21,53.02918194,5.677711762,Sneek-stad,demand,1,228.09,0,0,0,0,0.3
22,22,53.07849381,5.466828512,Bolsward,demand,1,219.43,0,0,0,0,0.3
23,23,52.96023832,5.460025159,Workum,demand,1,183.68,0,0,0,0,0.3
24,24,53.00001379,5.57530443,Heeg,demand,1,92.63,0,0,0,0,0.3
25,25,52.89407682,5.543754295,Stavoren,demand,1,129.29,0,0,0,0,0.3
26,26,52.966998,5.938731522,Heerenveen,demand,1,369.24,0,0,0,0,0.3
27,27,52.95730242,5.803459354,Joure,demand,1,252.66,0,0,0,0,0.3
28,28,52.87340337,5.70710634,Lemmer,demand,1,80.49,0,0,0,0,0.3
29,29,52.86557761,5.805682309,Echternerbrug,demand,1,27.61,0,0,0,0,0.3
30,30,52.86074884,5.918296166,Munnekeburen,demand,1,40.96,0,0,0,0,0.3
31,31,52.85,6.012023089,Wolvega,demand,1,84.88,0,0,0,0,0.3
32,32,53.04845482,6.006977539,Beetsterzwaag,demand,1,70.96,0,0,0,0,0.3
33,33,52.98821012,6.096646916,Jubbega,demand,1,124.37,0,0,0,0,0.3
34,34,52.90194315,6.14,Noordwolde,demand,1,81.04,0,0,0,0,0.3
35,35,53.19641716,5.995343683,Burgum,demand,1,78.78,0,0,0,0,0.3
36,36,53.14140783,5.989984622,Opeinde,demand,1,53.83,0,0,0,0,0.3
37,37,53.10280363,6.079780323,Drachten,demand,1,281.97,0,0,0,0,0.3
38,38,53.06875672,6.23719303,Ureterp,demand,1,123.8,0,0,0,0,0.3
39,39,52.9672895,6.319980859,Oosterwolde,demand,1,124.99,0,0,0,0,0.3
40,s5,53.47,6.148741876,Schiermonnikoog,supply,1,16.97,0,10000,0,0,0
41,s7,52.9175382,5.689705585,Spannenburg,supply,1,2165,0,10000,0,0,0
42,s3,53.45139772,5.627553599,Hollum,supply,1,28.4,0,10000,0,0,0
43,s4,53.45,5.8,Buren,supply,1,34.12,0,10000,0,0,0
44,s9,52.85243334,6.309220881,Terwisscha,supply,1,726,0,10000,0,0,0
45,s2,53.35,5.18,West Terschelling,supply,1,58.71,0,10000,0,0,0
46,s6,53.235,6.01,Noordbergum,supply,1,1328,0,10000,0,0,0
47,s8,52.91121728,6.053640322,Oldeholtpade,supply,1,576,0,10000,0,0,0
48,s1,53.2958262,5.027881021,Vlieland Vuurboetsduin,supply,1,18.8,0,10000,0,0,0
