id,label,lat,lon,name,type,weight,discharge,elevation,max_supply_head,disuse,use_pump,ind_ratio
1,FLV000,52.35957183,5.17115413,FLV000,demand,1,0.012474607,0,0,0,0,0.3
2,FLV001,52.35291073,5.233478931,FLV001,demand,1,0.001735365,0,0,0,0,0.3
3,FLV002,52.33899965,5.215244535,FLV002,demand,1,1.631085267,0,0,0,0,0.3
4,FLV003,52.36686073,5.20877879,FLV003,demand,1,9.199365201,0,0,0,0,0.3
5,FLV004,52.35731226,5.28005533,FLV004,demand,1,0,0,0,0,0,0.3
6,FLV005,52.33001008,5.293265937,FLV005,demand,1,0,0,0,0,0,0.3
7,FLV006,52.38590753,5.258790228,FLV006,demand,1,0.006164551,0,0,0,0,0.3
8,FLV007,52.39048153,5.215793514,FLV007,demand,1,0.405271867,0,0,0,0,0.3
9,FLV008,52.38694318,5.278764232,FLV008,demand,1,0,0,0,0,0,0.3
10,FLV009,52.40545379,5.265698867,FLV009,demand,1,0.358676121,0,0,0,0,0.3
11,FLV010,52.39430323,5.350337405,FLV010,demand,1,0,0,0,0,0,0.3
12,FLV011,52.35791514,5.359894907,FLV011,demand,1,0,0,0,0,0,0.3
13,FLV012,52.34160263,5.316822352,FLV012,demand,1,0.327687009,0,0,0,0,0.3
14,FLV013,52.30985687,5.354939344,FLV013,demand,1,0.383042869,0,0,0,0,0.3
15,FLV014,52.2740247,5.412473447,FLV014,demand,1,0.376693899,0,0,0,0,0.3
16,FLV015,52.28140926,5.462902303,FLV015,demand,1,0,0,0,0,0,0.3
17,FLV016,52.32011573,5.468409296,FLV016,demand,1,0,0,0,0,0,0.3
18,FLV017,52.36395596,5.470588553,FLV017,demand,1,0,0,0,0,0,0.3
19,FLV018,52.35792786,5.509198703,FLV018,demand,1,0.32353509,0,0,0,0,0.3
20,FLV019,52.36940898,5.544102722,FLV019,demand,1,0,0,0,0,0,0.3
21,FLV020,52.31875829,5.518873987,FLV020,demand,1,1.039652466,0,0,0,0,0.3
22,FLV021,52.37037711,5.607832593,FLV021,demand,1,0.142592146,0,0,0,0,0.3
23,FLV022,52.41094852,5.591970469,FLV022,demand,1,0,0,0,0,0,0.3
24,FLV023,52.42213001,5.495820921,FLV023,demand,1,0.109308629,0,0,0,0,0.3
25,FLV024,52.45601502,5.542408152,FLV024,demand,1,0.185225043,0,0,0,0,0.3
26,FLV025,52.4679578,5.568850277,FLV025,demand,1,0,0,0,0,0,0.3
27,FLV026,52.41885387,5.636208649,FLV026,demand,1,0,0,0,0,0,0.3
28,FLV027,52.41831655,5.726107521,FLV027,demand,1,0.036282449,0,0,0,0,0.3
29,FLV028,52.43741444,5.70691541,FLV028,demand,1,0,0,0,0,0,0.3
30,FLV029,52.45662815,5.700771977,FLV029,demand,1,0.337847261,0,0,0,0,0.3
31,FLV030,52.48598467,5.52313908,FLV030,demand,1,0,0,0,0,0,0.3
32,FLV031,52.49916466,5.541543185,FLV031,demand,1,0.079320003,0,0,0,0,0.3
33,FLV032,52.52437373,5.519484818,FLV032,demand,1,1.103239504,0,0,0,0,0.3
34,FLV033,52.502125,5.507342045,FLV033,demand,1,0,0,0,0,0,0.3
35,FLV034,52.49308331,5.488441058,FLV034,demand,1,0,0,0,0,0,0.3
36,FLV035,52.5000249,5.442156594,FLV035,demand,1,0.001241775,0,0,0,0,0.3
37,FLV036,52.51550525,5.47918179,FLV036,demand,1,4.934188248,0,0,0,0,0.3
38,FLV037,52.5238188,5.45124769,FLV037,demand,1,0,0,0,0,0,0.3
39,FLV038,52.54406052,5.487053902,FLV038,demand,1,0.117573212,0,0,0,0,0.3
40,FLV039,52.56104079,5.637511157,FLV039,demand,1,0.382292023,0,0,0,0,0.3
41,FLV040,52.54473889,5.71146567,FLV040,demand,1,1.600812829,0,0,0,0,0.3
42,FLV041,52.48543566,5.663494421,FLV041,demand,1,0.132801244,0,0,0,0,0.3
43,FLV042,52.50737695,5.728056531,FLV042,demand,1,0.057020163,0,0,0,0,0.3
44,FLV043,52.49068821,5.808937121,FLV043,demand,1,0.09143306,0,0,0,0,0.3
45,FLV044,52.45647616,5.800313531,FLV044,demand,1,0.178610727,0,0,0,0,0.3
46,FLV045,52.39694274,5.30815363,FLV045,demand,1,3.781581859,0,0,0,0,0.3
47,FRL001,53.182695,5.426246168,FRL001,demand,1,1.404332963,0,0,0,0,0.3
48,FRL002,53.18627356,5.557848195,FRL002,demand,1,1.787449433,0,0,0,0,0.3
49,FRL003,53.27449937,5.604470449,FRL003,demand,1,0.924857013,0,0,0,0,0.3
50,FRL004,53.20135421,5.654924099,FRL004,demand,1,0.640807645,0,0,0,0,0.3
51,FRL005,53.26582519,5.750926216,FRL005,demand,1,1.002860058,0,0,0,0,0.3
52,FRL006,53.20473105,5.774283799,FRL006,demand,1,0.242041458,0,0,0,0,0.3
53,FRL007,53.19572909,5.835775881,FRL007,demand,1,6.597975939,0,0,0,0,0.3
54,FRL008,53.12842941,5.599123191,FRL008,demand,1,0.791780129,0,0,0,0,0.3
55,FRL009,53.15059288,5.787641798,FRL009,demand,1,0.531363332,0,0,0,0,0.3
56,FRL010,53.09068634,5.453808266,FRL010,demand,1,0.739482539,0,0,0,0,0.3
